"Date","TY: 10 Yr Tsy Note Rolling Front Open","TY: 10 Yr Tsy Note Rolling Front Contract Fair Value","TY: 10 Yr Tsy Note Rolling Front Implied Volatility","TY: 10 Yr Tsy Note Rolling Front Basis of CTD Bond","TY: 10 Yr Tsy Note Rolling Front Term Repo Rate","TY: 10 Yr Tsy Note Rolling Front CTD Bond","TY: 10 Yr Tsy Note Rolling Front Clean Price of CTD Bond","TY: 10 Yr Tsy Note Rolling Front Bond Equivalent Yield"
09-Jan-18,123.46875,123.03956,3.49684,0.1918,1.57807,21411.24,98.70312,N/A
10-Jan-18,122.98438,122.98431,3.49262,0.18245,1.57757,21411.24,98.65625,N/A
11-Jan-18,122.96875,123.08532,3.42497,0.1605,1.59032,21411.24,98.73438,N/A
12-Jan-18,122.98438,122.90223,3.3846,0.15436,1.59835,21411.24,98.57812,N/A
16-Jan-18,122.92188,122.94465,3.41159,0.14808,1.59487,21411.24,98.60938,N/A
17-Jan-18,122.98438,122.63474,3.3944,0.16078,1.59544,21411.24,98.35938,N/A
18-Jan-18,122.54688,122.44216,3.6199,0.16715,1.59716,21411.24,98.20312,N/A
19-Jan-18,122.375,122.23645,3.68327,0.13288,1.60459,21411.24,98.03125,N/A
22-Jan-18,122.28125,122.06338,3.89948,0.14237,1.60197,21411.24,97.89062,N/A
23-Jan-18,122.17188,122.39936,3.78667,0.1453,1.60598,21411.24,98.15625,N/A
24-Jan-18,122.48438,122.16788,4.04816,0.13293,1.60912,21411.24,97.96875,N/A
25-Jan-18,122.25,122.42057,3.63233,0.14451,1.61655,21411.24,98.16797,N/A
26-Jan-18,122.4375,122.04394,4.05773,0.13614,1.62077,21411.24,97.85938,N/A
29-Jan-18,122.04688,121.79299,4.05602,0.13316,1.56602,21411.24,97.65625,N/A
30-Jan-18,121.8125,121.6201,4.32228,0.13014,1.56378,21411.24,97.51562,N/A
31-Jan-18,121.65625,121.5453,4.16954,0.11768,1.57,21411.24,97.45312,N/A
01-Feb-18,121.67188,121.21169,4.21508,0.12414,1.56502,21411.24,97.17188,N/A
02-Feb-18,121.09375,120.71179,4.26484,0.10568,1.53856,21411.24,96.76562,N/A
05-Feb-18,120.8125,121.26284,4.58638,0.11787,1.58988,21411.24,97.20312,N/A
06-Feb-18,121.95312,121.49942,5.00925,0.13023,1.59204,21411.24,97.39062,N/A
07-Feb-18,121.20312,120.99385,4.79714,0.11177,1.5734,21411.24,96.98438,N/A
08-Feb-18,121.07812,120.88047,5.49859,0.10559,1.45839,21411.24,96.89062,N/A
09-Feb-18,121.03125,121.16232,5.35711,0.09917,1.4761,21411.24,97.10938,N/A
12-Feb-18,120.9375,120.89126,5.10775,0.10559,1.54391,21411.24,96.89062,N/A
13-Feb-18,120.84375,120.97257,5.28355,0.08052,1.56606,21411.24,96.95312,N/A
14-Feb-18,121.03125,120.31223,4.85811,0.08718,1.1601,21411.24,96.42188,N/A
15-Feb-18,120.40625,120.4326,4.05679,0.08085,1.58632,21411.24,96.51562,N/A
16-Feb-18,120.3125,120.5618,3.84524,0.07453,1.59938,21411.24,96.60938,N/A
20-Feb-18,120.5625,120.46703,4.48157,0.07146,1.52646,21411.24,96.53125,N/A
21-Feb-18,120.48438,120.17684,5.47817,0.06225,1.39893,21411.24,96.29688,N/A
22-Feb-18,120.14062,120.41218,4.49065,0.07462,1.46809,21411.24,96.48438,N/A
23-Feb-18,120.375,120.73576,N/A,0.07443,N/A,21411.24,96.73438,N/A
26-Feb-18,120.73438,120.83658,N/A,0.0775,N/A,21411.24,96.8125,N/A
27-Feb-18,120.76562,120.39014,N/A,0.06839,N/A,21411.24,96.45312,N/A
28-Feb-18,120.45312,120.62757,N/A,0.04323,N/A,21411.24,96.64062,N/A
01-Mar-18,120.6875,121.21666,N/A,0.07415,N/A,21411.24,97.10938,N/A
02-Mar-18,121.17188,120.79569,N/A,0.05565,N/A,21411.24,96.76562,N/A
05-Mar-18,120.78125,120.6619,N/A,0.05886,N/A,21411.24,96.65625,N/A
06-Mar-18,120.65625,120.68314,N/A,0.06197,N/A,21411.24,96.67188,N/A
07-Mar-18,120.71875,120.64828,N/A,0.05574,N/A,21411.24,96.64062,N/A
08-Mar-18,120.64062,120.76843,N/A,0.0244,N/A,21411.24,96.73438,N/A
09-Mar-18,120.8125,120.65934,N/A,0.04323,N/A,21411.24,96.64062,N/A
12-Mar-18,120.60938,120.81929,N/A,0.01812,N/A,21411.24,96.76562,N/A
13-Mar-18,120.82812,120.90036,N/A,0.01807,N/A,21411.24,96.82812,N/A
14-Mar-18,120.98438,121.1181,N/A,0.01482,N/A,21411.24,97,N/A
15-Mar-18,121.09375,121.06245,N/A,0.00547,N/A,21411.24,96.95312,N/A
16-Mar-18,121.07812,120.91637,N/A,-0.02147,N/A,21811.24,96.01562,N/A
19-Mar-18,120.96875,120.99494,N/A,0.01802,N/A,21411.24,96.89062,N/A
20-Mar-18,120.28125,120.12633,4.07714,0.26782,1.93515,23402.25,99.60938,N/A
21-Mar-18,119.96875,119.97644,3.92087,0.25915,1.95657,23402.25,99.48438,N/A
22-Mar-18,120.10938,120.52944,3.77827,0.24698,1.94273,23402.25,99.9375,N/A
23-Mar-18,120.54688,120.63287,3.87807,0.24755,1.93037,23402.25,100.01562,N/A
26-Mar-18,120.64062,120.48683,3.86172,0.23888,1.91963,23402.25,99.89062,N/A
27-Mar-18,120.375,120.90697,3.95636,0.22073,1.94635,23402.25,100.23438,N/A
28-Mar-18,121,120.90578,3.9896,0.22073,1.87333,23402.25,100.23438,N/A
29-Mar-18,120.8125,121.1627,3.88907,0.22998,1.88441,23402.25,100.4375,N/A
02-Apr-18,121.03125,121.26123,4.00428,0.2047,1.88661,23402.25,100.51562,N/A
03-Apr-18,121.25,120.86572,3.85924,0.22555,1.88049,23402.25,100.1875,N/A
04-Apr-18,120.90625,120.83265,3.76287,0.20722,1.89534,23402.25,100.15625,N/A
05-Apr-18,120.70312,120.57043,3.69516,0.2082,1.89458,23402.25,99.9375,N/A
06-Apr-18,120.5625,121.01517,3.67636,0.19275,1.90141,23402.25,100.29688,N/A
09-Apr-18,120.98438,120.92298,3.56104,0.2051,1.89549,23402.25,100.21875,N/A
10-Apr-18,120.92188,120.79272,3.52052,0.21205,1.89374,23402.25,100.10938,N/A
11-Apr-18,120.71875,120.85088,3.4417,0.1943,1.89541,23402.25,100.15625,N/A
12-Apr-18,120.90625,120.47601,3.51268,0.192,1.89602,23402.25,99.84375,N/A
13-Apr-18,120.46875,120.5036,3.5063,0.1947,1.89571,23402.25,99.85938,N/A
16-Apr-18,120.46875,120.47087,3.48826,0.17638,1.90844,23402.25,99.82812,N/A
17-Apr-18,120.4375,120.57287,3.32682,0.17695,1.90155,23402.25,99.90625,N/A
18-Apr-18,120.45312,120.14153,3.41919,0.16655,1.87081,23402.25,99.54688,N/A
19-Apr-18,120.14062,119.84084,3.46275,0.17505,1.89118,23402.25,99.29688,N/A
20-Apr-18,119.84375,119.58595,3.55017,0.18895,1.91418,23402.25,99.07812,N/A
23-Apr-18,119.48438,119.36351,3.71515,0.1824,1.89878,23402.25,98.89062,N/A
24-Apr-18,119.3125,119.36613,3.77441,0.1824,1.90051,23402.25,98.89062,N/A
25-Apr-18,119.1875,119.10527,4.07497,0.17045,1.88061,23402.25,98.67188,N/A
26-Apr-18,119.04688,119.30508,3.84643,0.14845,1.89937,23402.25,98.84375,N/A
27-Apr-18,119.32812,119.50352,3.5561,0.1496,1.9033,23402.25,99,N/A
30-Apr-18,119.48438,119.63912,3.61068,0.15557,1.90782,23402.25,99.10938,N/A
01-May-18,119.54688,119.37687,3.69261,0.14363,1.90452,23402.25,98.89062,N/A
02-May-18,119.45312,119.51247,3.46462,0.13667,1.91817,23402.25,99,N/A
03-May-18,119.51562,119.68593,3.4636,0.13512,1.91312,23402.25,99.14062,N/A
04-May-18,119.6875,119.69424,3.20568,0.1222,1.91689,23402.25,99.14062,N/A
07-May-18,119.625,119.67509,3.38482,0.1195,1.91581,23402.25,99.125,N/A
08-May-18,119.64062,119.51651,3.57247,0.12105,1.91776,23402.25,98.98438,N/A
09-May-18,119.45312,119.25426,3.69,0.1091,1.9522,23402.25,98.76562,N/A
10-May-18,119.21875,119.40864,3.28887,0.1307,1.79209,23402.25,98.89062,N/A
11-May-18,119.42188,119.41727,2.99022,0.11778,1.8771,23402.25,98.89062,N/A
14-May-18,119.375,119.26869,3.21867,0.12202,1.89216,23402.25,98.76562,N/A
15-May-18,119.15625,118.62789,3.85475,0.1207,1.90121,23402.25,98.23438,N/A
16-May-18,118.67188,118.55508,3.88799,0.1099,1.86815,23402.25,98.17188,N/A
17-May-18,118.5,118.53907,3.68509,0.12012,1.93126,23402.25,98.15625,N/A
18-May-18,118.46875,118.85065,3.28575,0.0987,1.9202,23402.25,98.40625,N/A
21-May-18,118.71875,118.85355,4.34609,0.0987,1.93201,23402.25,98.40625,N/A
22-May-18,118.875,118.85645,3.8232,0.07285,1.92881,23402.25,98.40625,N/A
23-May-18,118.875,119.3703,4.48376,0.0682,2.00142,23402.25,98.82812,N/A
24-May-18,119.40625,119.50563,3.75678,0.0871,1.96584,23402.25,98.9375,N/A
25-May-18,119.48438,119.87654,N/A,0.0867,N/A,23402.25,99.23438,N/A
29-May-18,119.82812,121.24149,N/A,0.0743,N/A,23402.25,100.35938,N/A
30-May-18,121.23438,120.60107,N/A,0.06005,N/A,23402.25,99.82812,N/A
31-May-18,120.53125,120.73629,N/A,0.06603,N/A,23402.25,99.9375,N/A
01-Jun-18,120.54688,120.15836,N/A,0.04695,N/A,23402.25,99.45312,N/A
04-Jun-18,120.125,119.82076,N/A,0.05005,N/A,23402.25,99.17188,N/A
05-Jun-18,119.78125,120.03162,N/A,0.0539,N/A,23402.25,99.34375,N/A
06-Jun-18,119.95312,119.63733,N/A,0.06182,N/A,23402.25,99.01562,N/A
07-Jun-18,119.625,119.91337,N/A,0.035,N/A,23402.25,99.23438,N/A
08-Jun-18,119.9375,119.92066,N/A,0.035,N/A,23402.25,99.23438,N/A
11-Jun-18,119.85938,119.77183,N/A,0.03925,N/A,23402.25,99.10938,N/A
12-Jun-18,119.76562,119.75536,N/A,0.04947,N/A,23402.25,99.09375,N/A
13-Jun-18,119.70312,119.51203,N/A,0.0273,N/A,23402.25,98.89062,N/A
14-Jun-18,119.57812,119.76023,N/A,0.03655,N/A,23402.25,99.09375,N/A
15-Jun-18,119.875,119.88129,N/A,0.01397,N/A,23402.25,99.1875,N/A
18-Jun-18,119.9375,119.88099,N/A,0.00105,N/A,23402.25,99.1875,N/A
19-Jun-18,119.95312,120.12932,N/A,0.0103,N/A,23402.25,99.39062,N/A
20-Jun-18,119.79688,119.58813,3.77352,0.2072,2.14068,27805.25,99.9375,N/A
21-Jun-18,119.5,119.83055,3.86763,0.20188,2.14918,27805.25,100.14062,N/A
22-Jun-18,119.84375,119.80649,3.81446,0.19668,2.15145,27805.25,100.10938,N/A
25-Jun-18,119.85938,119.997,3.87774,0.18357,2.1506,27805.25,100.26562,N/A
26-Jun-18,119.95312,119.96203,3.74834,0.17838,2.14761,27805.25,100.23438,N/A
27-Jun-18,119.98438,120.36102,3.88365,0.1808,2.14465,27805.25,100.5625,N/A
28-Jun-18,120.375,120.17529,3.78806,0.19391,2.14142,27805.25,100.40625,N/A
29-Jun-18,120.26562,120.16474,3.65343,0.17829,2.13715,27805.25,100.39062,N/A
02-Jul-18,120.125,120.05459,3.64698,0.17573,2.14588,27805.25,100.29688,N/A
03-Jul-18,120.03125,120.28089,3.69688,0.16781,2.13341,27805.25,100.48438,N/A
05-Jul-18,120.34375,120.22736,3.75272,0.17305,2.14482,27805.25,100.4375,N/A
06-Jul-18,120.34375,120.32996,3.54571,0.17301,2.13423,27805.25,100.51562,N/A
09-Jul-18,120.375,120.10663,3.5816,0.1679,2.12511,27805.25,100.32812,N/A
10-Jul-18,120.125,119.99666,3.58875,0.16535,2.11268,27805.25,100.23438,N/A
11-Jul-18,120.23438,120.22525,3.61793,0.15743,2.11853,27805.25,100.42188,N/A
12-Jul-18,120.17188,120.1526,3.50447,0.17309,2.13385,27805.25,100.35938,N/A
13-Jul-18,120.21875,120.3302,3.49326,0.14435,2.12279,27805.25,100.5,N/A
16-Jul-18,120.39062,120.14488,3.52293,0.14444,2.12137,27805.25,100.34375,N/A
17-Jul-18,120.1875,120.09101,3.43024,0.13665,2.14223,27805.25,100.29688,N/A
18-Jul-18,120.10938,120.05603,3.28328,0.15751,2.14394,27805.25,100.26562,N/A
19-Jul-18,120.07812,120.26573,3.43807,0.13397,2.14496,27805.25,100.4375,N/A
20-Jul-18,120.32812,119.97282,3.53942,0.14453,2.13,27805.25,100.1875,N/A
23-Jul-18,120.01562,119.46805,3.82739,0.13955,2.12774,27805.25,99.76562,N/A
24-Jul-18,119.5625,119.54606,3.60074,0.13691,2.13361,27805.25,99.82812,N/A
25-Jul-18,119.54688,119.64292,3.51863,0.13687,2.14384,27805.25,99.90625,N/A
26-Jul-18,119.375,119.32625,3.58528,0.13181,2.14329,27805.25,99.64062,N/A
27-Jul-18,119.32812,119.43251,3.43441,0.13176,2.07191,27805.25,99.71875,N/A
30-Jul-18,119.48438,119.36004,3.61871,0.12137,2.07336,27805.25,99.65625,N/A
31-Jul-18,119.375,119.41949,3.38484,0.12917,2.07588,27805.25,99.70312,N/A
01-Aug-18,119.40625,119.15904,3.46463,0.11887,2.05559,27805.25,99.48438,N/A
02-Aug-18,119.17188,119.31219,3.4048,0.11358,2.06519,27805.25,99.60938,N/A
03-Aug-18,119.29688,119.60211,3.32889,0.11345,2.06563,27805.25,99.84375,N/A
06-Aug-18,119.60938,119.71784,3.31807,0.10298,2.05774,27805.25,99.9375,N/A
07-Aug-18,119.70312,119.45732,3.34379,0.10571,2.04183,27805.25,99.71875,N/A
08-Aug-18,119.46875,119.46019,3.29092,0.07965,1.98351,27805.25,99.71875,N/A
09-Aug-18,119.53125,119.70704,3.06683,0.10038,2.01024,27805.25,99.92188,N/A
10-Aug-18,119.75,120.33515,3.61897,0.06882,2.07119,27805.25,100.4375,N/A
13-Aug-18,120.3125,120.22511,3.75547,0.0793,2.06659,27805.25,100.34375,N/A
14-Aug-18,120.15625,120.09635,3.20752,0.08718,2.07035,27805.25,100.23438,N/A
15-Aug-18,120.0625,120.41837,3.7155,0.07921,2.07957,27805.25,100.5,N/A
16-Aug-18,120.32812,120.25214,3.41135,0.0819,2.08901,27805.25,100.35938,N/A
17-Aug-18,120.3125,120.24125,3.29447,0.0793,2.05475,27805.25,100.34375,N/A
20-Aug-18,120.32812,120.61954,4.22745,0.07913,2.06038,27805.25,100.65625,N/A
21-Aug-18,120.67188,120.44994,3.74259,0.08181,2.06491,27805.25,100.51562,N/A
22-Aug-18,120.57812,120.60614,4.15261,0.0635,2.02633,27805.25,100.64062,N/A
23-Aug-18,120.60938,120.57126,4.07887,0.05831,2.01383,27805.25,100.60938,N/A
24-Aug-18,120.51562,120.50418,N/A,0.06095,N/A,27805.25,100.54688,N/A
27-Aug-18,120.60938,120.33789,N/A,0.06363,N/A,27805.25,100.40625,N/A
28-Aug-18,120.35938,120.09654,N/A,0.06896,N/A,27805.25,100.20312,N/A
29-Aug-18,120.125,120.08044,N/A,0.05333,N/A,27805.25,100.1875,N/A
30-Aug-18,120.07812,120.27081,N/A,0.06627,N/A,27805.25,100.34375,N/A
31-Aug-18,120.3125,120.39407,N/A,0.0558,N/A,27805.25,100.4375,N/A
04-Sep-18,120.32812,120.07774,N/A,0.06376,N/A,27805.25,100.17188,N/A
05-Sep-18,120.10938,120.09918,N/A,0.05333,N/A,27805.25,100.1875,N/A
06-Sep-18,120.125,120.30823,N/A,0.05584,N/A,27805.25,100.35938,N/A
07-Sep-18,120.32812,119.79097,N/A,0.03524,N/A,27805.25,99.92188,N/A
10-Sep-18,119.76562,119.79365,N/A,0.02221,N/A,27805.25,99.92188,N/A
11-Sep-18,119.8125,119.47748,N/A,0.01715,N/A,27805.25,99.65625,N/A
12-Sep-18,119.51562,119.57245,N/A,0.00408,N/A,27805.25,99.73438,N/A
13-Sep-18,119.5625,119.57524,N/A,0.01711,N/A,27805.25,99.73438,N/A
14-Sep-18,119.57812,119.33986,N/A,0.0094,N/A,27805.25,99.53125,N/A
17-Sep-18,119.34375,119.28642,N/A,0.00161,N/A,27805.25,99.48438,N/A
18-Sep-18,119.48438,118.98924,N/A,0.0252,N/A,27805.25,99.23438,N/A
19-Sep-18,118.73438,118.51852,3.61492,0.12823,2.27441,23408.25,98.20312,N/A
20-Sep-18,118.70312,118.53288,3.5601,0.118,2.29704,23408.25,98.21875,N/A
21-Sep-18,118.65625,118.60359,3.53397,0.10025,2.29468,23408.25,98.26562,N/A
24-Sep-18,118.70312,118.55116,3.5071,0.1061,2.29513,27807.25,99.01562,N/A
25-Sep-18,118.51562,118.39727,3.59043,0.10933,2.30274,23408.25,98.09375,N/A
26-Sep-18,118.4375,118.66416,3.41314,0.09542,2.31552,23408.25,98.3125,N/A
27-Sep-18,118.82812,118.70397,3.30782,0.11375,2.30862,23408.25,98.34375,N/A
28-Sep-18,118.76562,118.72898,3.26113,0.10353,2.30925,23408.25,98.35938,N/A
01-Oct-18,118.71875,118.62038,3.32598,0.09827,2.3139,27807.25,99.04688,N/A
02-Oct-18,118.625,118.78421,3.30366,0.10892,2.3275,23408.25,98.39062,N/A
03-Oct-18,118.75,118.08397,3.55027,0.0995,2.32619,23408.25,97.8125,N/A
04-Oct-18,117.98438,117.8322,3.90517,0.11948,2.32487,27807.25,98.39062,N/A
05-Oct-18,117.89062,117.62382,3.94653,0.0837,2.32294,23408.25,97.42188,N/A
09-Oct-18,117.64062,117.77265,3.86646,0.09237,2.33473,23408.25,97.54688,N/A
10-Oct-18,117.79688,117.69823,3.98749,0.08157,2.3262,23408.25,97.48438,N/A
11-Oct-18,118.20312,118.3696,3.9055,0.11402,2.32986,27807.25,98.82812,N/A
12-Oct-18,118.23438,118.30617,3.69707,0.09061,2.33411,27807.25,98.76562,N/A
15-Oct-18,118.17188,118.12006,3.63973,0.09069,2.34637,27807.25,98.60938,N/A
16-Oct-18,118.21875,118.17346,3.45468,0.08546,2.3443,27807.25,98.65625,N/A
17-Oct-18,118.125,118.01175,3.2894,0.08814,2.34192,27807.25,98.51562,N/A
18-Oct-18,117.85938,118.10826,3.52638,0.0881,2.35265,27807.25,98.59375,N/A
19-Oct-18,118.07812,117.9065,3.49133,0.07256,2.3528,27807.25,98.42188,N/A
22-Oct-18,117.96875,117.96491,3.59549,0.08035,2.35606,27807.25,98.46875,N/A
23-Oct-18,117.96875,118.2305,3.86795,0.07762,2.35752,27807.25,98.6875,N/A
24-Oct-18,118.25,118.58594,4.02446,0.07485,2.3705,27807.25,98.98438,N/A
25-Oct-18,118.76562,118.47982,3.75872,0.05927,2.37431,27807.25,98.89062,N/A
26-Oct-18,118.6875,118.99025,4.28536,0.06424,2.37297,27807.25,99.3125,N/A
29-Oct-18,119.01562,118.90174,4.21946,0.05126,2.29593,27807.25,99.23438,N/A
30-Oct-18,118.95312,118.74847,4.37929,0.06957,2.29226,27807.25,99.10938,N/A
31-Oct-18,118.65625,118.38882,4.08502,0.04412,2.29541,23408.25,98.01562,N/A
01-Nov-18,118.51562,118.53064,4.10257,0.05143,2.29488,27807.25,98.92188,N/A
02-Nov-18,118.67188,117.9977,4.22318,0.03913,2.29731,23408.25,97.6875,N/A
05-Nov-18,118.04688,118.09421,4.38926,0.0397,2.30251,23408.25,97.76562,N/A
06-Nov-18,118.125,117.96894,4.62004,0.04665,2.2967,23408.25,97.65625,N/A
07-Nov-18,117.90625,117.96271,3.41274,0.06213,2.30074,27807.25,98.4375,N/A
08-Nov-18,117.79688,117.75745,3.28257,0.05962,2.29721,27807.25,98.26562,N/A
09-Nov-18,117.75,118.08441,3.00161,0.03862,2.29949,27807.25,98.53125,N/A
13-Nov-18,118.42188,118.48171,3.49667,0.04105,2.34774,27807.25,98.85938,N/A
14-Nov-18,118.5,118.7195,3.57345,0.03562,2.40429,23408.25,98.26562,N/A
15-Nov-18,118.6875,118.77795,3.32442,0.0308,2.25293,23408.25,98.3125,N/A
16-Nov-18,118.8125,119.12233,3.27538,0.0277,2.29011,23408.25,98.59375,N/A
19-Nov-18,119.25,119.26301,3.58968,0.02075,2.27132,23408.25,98.70312,N/A
20-Nov-18,119.23438,119.29608,3.14182,0.01323,2.30222,23408.25,98.73438,N/A
21-Nov-18,119.20312,119.18643,3.32478,0.00995,2.28737,23408.25,98.64062,N/A
23-Nov-18,119.20312,119.24814,N/A,0.01805,N/A,23408.25,98.6875,N/A
26-Nov-18,119.32812,119.10688,N/A,0.01992,N/A,27807.25,99.35938,N/A
27-Nov-18,119.25,119.21411,N/A,0.01265,N/A,23408.25,98.65625,N/A
28-Nov-18,119.23438,119.35455,N/A,0.0146,N/A,27807.25,99.5625,N/A
29-Nov-18,119.3125,119.40605,N/A,0.02672,N/A,23408.25,98.8125,N/A
30-Nov-18,119.46875,119.56791,N/A,0.05619,N/A,27807.25,99.73438,N/A
03-Dec-18,119.375,119.65767,N/A,0.01013,N/A,23408.25,99.01562,N/A
04-Dec-18,119.85938,120.05899,N/A,0.00646,N/A,27807.25,100.14062,N/A
06-Dec-18,120.10938,120.42254,N/A,0.00368,N/A,27807.25,100.4375,N/A
07-Dec-18,120.35938,120.72587,N/A,-0.00688,N/A,27807.25,100.6875,N/A
10-Dec-18,120.82812,120.64218,N/A,-0.00424,N/A,27807.25,100.625,N/A
11-Dec-18,120.65625,120.40031,N/A,-0.01194,N/A,27807.25,100.42188,N/A
12-Dec-18,120.48438,120.25162,N/A,0.00637,N/A,27807.25,100.29688,N/A
13-Dec-18,120.25,120.25661,N/A,0.00637,N/A,27807.25,100.29688,N/A
14-Dec-18,120.29688,120.45131,N/A,0.01931,N/A,27807.25,100.45312,N/A
17-Dec-18,120.4375,120.70352,N/A,0.00096,N/A,27807.25,100.65625,N/A
18-Dec-18,120.70312,120.94941,N/A,0.00866,N/A,27807.25,100.85938,N/A
19-Dec-18,120.9375,121.15031,3.71881,0.07691,2.59016,30010.25,101.92188,N/A
20-Dec-18,121.26562,120.99237,3.88036,0.02822,2.60076,30009.25,101.78125,N/A
21-Dec-18,120.9375,120.96895,3.9914,0.03886,2.60242,30010.25,101.76562,N/A
24-Dec-18,121.07812,121.35347,4.15174,0.03617,2.59564,30009.25,102.07812,N/A
26-Dec-18,121.53125,120.93598,3.99529,0.00761,2.59989,30010.25,101.73438,N/A
27-Dec-18,120.96875,121.46085,4.2589,0.02486,2.56659,30010.25,102.17188,N/A
28-Dec-18,121.39062,121.54394,4.12076,0.00856,2.56556,30009.25,102.23438,N/A
31-Dec-18,121.67188,121.96068,4.10209,0.02399,2.55906,30009.25,102.57812,N/A
02-Jan-19,121.8125,122.12886,3.93989,0.03578,2.55721,30009.25,102.73438,N/A
03-Jan-19,122.59375,123.10395,4.30031,0.03405,2.551,30009.25,103.54688,N/A
04-Jan-19,123.15625,122.21715,4.14139,0.0376,2.57497,30010.25,102.82812,N/A
