"Date","Euro (vs. 3M Euribor) 10 Years Term Spot Fwd Mid Rate","Euro (vs. 3M Euribor) 10 Years Term Spot Fwd Modified Duration","Germany 10 year Mid Yield","Germany 10 year Mid Price","Germany 10 year Dirty Mid Price","Italy 10 year Mid Yield","Italy 10 year Mid Price","Italy 10 year Dirty Mid Price"
11-Jan-18,0.88027,9.76336,0.59492,99.0734,99.07751,2.05904,100.0121,100.9424
12-Jan-18,0.88862,9.75333,0.58926,99.1286,99.13408,1.98748,100.62553,101.5614
16-Jan-18,0.86408,9.76233,0.56051,99.40863,99.41685,1.96344,100.83229,101.7793
17-Jan-18,0.85889,9.76466,0.55696,99.44334,99.45293,1.98761,100.62399,101.57657
18-Jan-18,0.87989,9.762,0.57402,99.27789,99.29158,1.9834,100.65976,101.62905
19-Jan-18,0.88819,9.75787,0.56963,99.32067,99.33574,1.9555,100.89965,101.87451
22-Jan-18,0.88607,9.75711,0.56261,99.38911,99.40555,1.92358,101.17483,102.15526
23-Jan-18,0.88241,9.75743,0.55937,99.42073,99.43854,1.89262,101.44237,102.42838
24-Jan-18,0.90816,9.74699,0.59158,99.10836,99.12754,1.91063,101.28617,102.27775
25-Jan-18,0.92142,9.74286,0.61298,98.90224,98.92553,1.96393,100.82593,101.83422
26-Jan-18,0.93211,9.73017,0.62913,98.74677,98.77142,1.99318,100.57481,101.58867
29-Jan-18,1.00369,9.702,0.69766,98.08937,98.11539,2.03173,100.24512,101.26455
30-Jan-18,0.99174,9.70493,0.68622,98.1993,98.22669,2.12343,98.99269,98.99269
31-Jan-18,0.98447,9.70758,0.69013,98.16232,98.19109,2.11498,99.06751,99.07303
01-Feb-18,1.00582,9.70601,0.70881,97.98543,98.01831,2.04387,99.69817,99.72027
02-Feb-18,1.05208,9.68403,0.75874,97.51114,97.54538,2.11764,99.04483,99.07245
05-Feb-18,1.04469,9.68632,0.74453,97.64668,97.68229,2.12437,98.98568,99.01883
06-Feb-18,0.99105,9.70954,0.68672,98.19782,98.2348,2.07914,99.38547,99.42414
07-Feb-18,1.02852,9.69298,0.73457,97.7425,97.78086,2.03956,99.73662,99.78082
08-Feb-18,1.06053,9.68471,0.77108,97.39832,97.44078,2.09962,99.20505,99.26582
09-Feb-18,1.05972,9.68555,0.74914,97.60664,97.65047,2.14018,98.84807,98.91437
12-Feb-18,1.0792,9.67739,0.75094,97.59024,97.63544,2.12131,99.0142,99.08602
13-Feb-18,1.0724,9.684,0.74043,97.69048,97.73706,2.15918,98.68185,98.7592
14-Feb-18,1.07476,9.68253,0.75004,97.60003,97.64797,2.14334,98.82108,98.90395
15-Feb-18,1.08709,9.68168,0.75922,97.51505,97.5671,2.13394,98.90439,99.00384
16-Feb-18,1.04312,9.69685,0.70884,97.99306,98.04648,2.07311,99.44025,99.54522
20-Feb-18,1.06335,9.686,0.72569,97.83428,97.89044,2.14701,98.79057,98.90659
21-Feb-18,1.05177,9.69017,0.71832,97.90475,97.96229,2.13789,98.87073,98.99228
22-Feb-18,1.04423,9.70058,0.70261,98.05531,98.11695,2.15587,98.71416,98.85228
23-Feb-18,1.00472,9.7168,0.65179,98.53942,98.60243,2.14025,98.85115,98.9948
26-Feb-18,1.00205,9.71321,0.64539,98.60085,98.66524,2.09835,99.219,99.36817
27-Feb-18,1.01095,9.70994,0.67232,98.34469,98.41044,2.08256,99.35803,99.51273
28-Feb-18,1.00386,9.71252,0.65846,98.47702,98.54414,2.06323,99.52853,99.68875
01-Mar-18,0.99311,9.7195,0.64113,98.64338,98.71462,2.02774,99.84221,100.01901
02-Mar-18,0.99038,9.71955,0.63501,98.70211,98.77471,2.02858,99.83477,100.01709
05-Mar-18,0.98944,9.71985,0.62823,98.76718,98.84115,2.08758,99.31483,99.50268
06-Mar-18,1.02017,9.7068,0.67358,98.33576,98.41111,2.0737,99.43694,99.63031
07-Mar-18,1.00212,9.71301,0.65798,98.4844,98.56111,2.03668,99.76331,99.96221
08-Mar-18,0.98508,9.72082,0.6318,98.73479,98.81561,1.9719,100.33685,100.55232
09-Mar-18,0.99849,9.71184,0.64886,98.57266,98.65485,1.99321,100.14781,100.3688
12-Mar-18,0.98186,9.72144,0.62938,98.75847,98.84203,1.99359,100.14438,100.3709
13-Mar-18,0.97096,9.72936,0.61576,98.8886,98.97353,1.98373,100.23166,100.4637
14-Mar-18,0.94191,9.74171,0.5838,99.19417,99.28047,1.99953,100.09168,100.32925
15-Mar-18,0.92747,9.75083,0.57093,99.31797,99.40838,1.97077,100.34624,100.60038
16-Mar-18,0.92938,9.74824,0.56775,99.34856,99.44034,1.96885,100.3631,100.62277
19-Mar-18,0.93016,9.74505,0.56516,99.37359,99.46674,1.95855,100.45438,100.71957
20-Mar-18,0.94112,9.73913,0.57688,99.26158,99.3561,1.89349,101.03335,101.30407
21-Mar-18,0.95711,9.73358,0.59312,99.10669,99.20258,1.92832,100.72262,100.99886
22-Mar-18,0.90091,9.76154,0.51689,99.83716,99.93716,1.87283,101.21679,101.50961
23-Mar-18,0.91338,9.75557,0.52349,99.77379,99.87516,1.86731,101.26588,101.56422
26-Mar-18,0.91173,9.75514,0.52014,99.80605,99.90879,1.91371,100.85156,101.15543
27-Mar-18,0.89178,9.76763,0.49958,100.00369,100.1078,1.86557,101.28073,101.59012
28-Mar-18,0.88555,9.76952,0.49654,100.03289,100.14385,1.83735,101.53142,101.86844
29-Mar-18,0.88381,9.7713,0.49143,100.08199,100.19431,1.77929,102.05244,102.39498
02-Apr-18,N/A,N/A,0.49143,100.08199,100.19568,1.77923,102.05244,102.40051
03-Apr-18,0.87836,9.77266,0.50196,99.98081,100.09451,1.78888,101.96555,102.31362
04-Apr-18,0.86514,9.77923,0.49108,100.08537,100.20044,1.74405,102.3692,102.72279
05-Apr-18,0.88631,9.77258,0.5197,99.81084,99.93002,1.77464,102.09159,102.46176
06-Apr-18,0.86705,9.77807,0.49154,100.08084,100.20138,1.78092,102.03458,102.41027
09-Apr-18,0.87256,9.77523,0.50435,99.95796,100.07988,1.76369,102.18905,102.57027
10-Apr-18,0.87215,9.77333,0.52136,99.79509,99.91838,1.79282,101.92658,102.31332
11-Apr-18,0.84809,9.78357,0.49093,100.08662,100.21128,1.77834,102.05614,102.44841
12-Apr-18,0.86827,9.78022,0.50982,99.9057,100.03447,1.80396,101.82478,102.23362
13-Apr-18,0.86945,9.77768,0.50646,99.9378,100.06794,1.78605,101.98483,102.39919
16-Apr-18,0.88059,9.77003,0.522,99.78937,99.92088,1.79167,101.93394,102.35383
17-Apr-18,0.86677,9.77617,0.50879,99.91553,100.04841,1.75616,102.25213,102.67754
18-Apr-18,0.87505,9.77095,0.5304,99.70938,99.84363,1.72096,102.56865,102.99959
19-Apr-18,0.92623,9.75162,0.59437,99.10227,99.24062,1.77501,102.08061,102.52812
20-Apr-18,0.9341,9.74644,0.59717,99.07602,99.21575,1.77863,102.04763,102.50067
23-Apr-18,0.95337,9.73567,0.62675,98.79705,98.93815,1.78215,102.01559,102.47415
24-Apr-18,0.95598,9.73463,0.63153,98.75242,98.89488,1.76727,102.14835,102.61244
25-Apr-18,0.96642,9.72924,0.63526,98.71761,98.86145,1.77326,102.09418,102.56379
26-Apr-18,0.93215,9.73743,0.59406,99.1069,99.25485,1.74393,102.35547,102.84166
27-Apr-18,0.91524,9.75021,0.56963,99.33823,99.48891,1.73225,102.45913,102.95637
30-Apr-18,0.91411,9.75179,0.56351,99.39633,99.54839,1.7743,102.08161,102.58437
01-May-18,N/A,N/A,0.55884,99.44068,99.5941,1.77539,102.0713,102.57959
02-May-18,0.92318,9.74844,0.57809,99.25863,99.41206,1.77401,102.08359,102.59188
03-May-18,0.88535,9.76806,0.52977,99.71658,99.87412,1.73584,102.42369,102.94855
04-May-18,0.88918,9.76326,0.54109,99.60936,99.76827,1.79111,101.92883,102.45922
07-May-18,N/A,N/A,0.5411,99.60936,99.76964,1.79106,101.92883,102.46474
08-May-18,0.90888,9.75566,0.56,99.43069,99.59233,1.87269,101.20381,101.74525
09-May-18,0.91375,9.7529,0.55987,99.432,99.59502,1.87845,101.15269,101.69965
10-May-18,0.90742,9.7597,0.5447,99.57589,99.74302,1.93107,100.68873,101.25227
11-May-18,0.9237,9.75017,0.56143,99.41793,99.58642,1.88327,101.10897,101.67803
14-May-18,0.96386,9.73109,0.61471,98.91675,99.08661,1.91623,100.81862,101.39321
15-May-18,0.9894,9.72261,0.64253,98.65654,98.82777,1.94293,100.58423,101.16434
16-May-18,0.97906,9.72868,0.61051,98.95674,99.12934,2.11298,99.10785,99.69349
17-May-18,1.00455,9.72159,0.63508,98.7276,98.90431,2.13225,98.94301,99.54522
18-May-18,0.95885,9.73992,0.57428,99.29809,99.47618,2.22044,98.18995,98.79768
21-May-18,0.93876,9.75046,0.53507,99.66776,99.84721,2.37957,96.84842,97.46168
22-May-18,0.96182,9.74213,0.56198,99.41413,99.59495,2.32269,97.32626,97.94504
23-May-18,0.91148,9.7674,0.49798,100.01873,100.20093,2.41196,96.57961,97.20392
24-May-18,0.89445,9.77781,0.46513,100.33024,100.51654,2.38943,96.77009,97.41097
25-May-18,0.85103,9.80336,0.40472,100.90579,101.09346,2.44955,96.27078,96.91719
29-May-18,0.7963,9.83684,0.27647,102.13895,102.32936,3.1262,90.85021,91.50767
30-May-18,0.83743,9.80894,0.33576,101.56614,101.75792,3.02956,91.60434,92.26732
31-May-18,0.82245,9.81463,0.32339,101.68379,101.87968,2.84508,93.06521,93.74477
01-Jun-18,0.83604,9.79807,0.37392,101.1984,101.39566,2.70278,94.2073,94.89238
04-Jun-18,0.87096,9.78299,0.41458,100.80983,101.00846,2.53637,95.56285,96.25346
05-Jun-18,0.84806,9.79358,0.37282,101.20824,101.40824,2.72727,94.01291,94.70904
06-Jun-18,0.91926,9.76026,0.46053,100.3728,100.57417,2.91903,92.48639,93.18805
07-Jun-18,0.95737,9.74794,0.49637,100.03382,100.2393,2.97449,92.05584,92.77407
08-Jun-18,0.92296,9.76346,0.44526,100.5171,100.72395,3.10484,91.04244,91.7662
11-Jun-18,0.93988,9.75273,0.4903,100.09104,100.29926,2.83546,93.15729,93.88657
12-Jun-18,0.92676,9.75677,0.48539,100.13728,100.34687,2.86794,92.90136,93.63617
13-Jun-18,0.90884,9.76202,0.47102,100.27293,100.48388,2.81517,93.32212,94.06245
14-Jun-18,0.87863,9.78159,0.42821,100.67779,100.89285,2.74622,93.87763,94.63454
15-Jun-18,0.83873,9.80165,0.39647,100.97901,101.19545,2.58566,95.17549,95.93792
18-Jun-18,0.83121,9.80712,0.39637,100.97968,101.19749,2.54853,95.47937,96.24733
19-Jun-18,0.81012,9.81882,0.36979,101.23239,101.45157,2.5504,95.46534,96.23882
20-Jun-18,0.81681,9.81608,0.3735,101.1967,101.41725,2.5487,95.48036,96.25937
21-Jun-18,0.80048,9.82769,0.32922,101.61815,101.84281,2.72483,94.0598,94.85538
22-Jun-18,0.81061,9.81989,0.33221,101.58913,101.81516,2.68856,94.35247,95.15357
25-Jun-18,0.80923,9.82062,0.32435,101.66388,101.89128,2.8103,93.3811,94.18773
26-Jun-18,0.82362,9.81367,0.3351,101.56065,101.78941,2.90126,92.66383,93.47598
27-Jun-18,0.81529,9.81607,0.32074,101.69746,101.9276,2.81465,93.34996,94.16764
28-Jun-18,0.80718,9.82062,0.30962,101.8023,102.03654,2.78238,93.61137,94.44562
29-Jun-18,0.80004,9.82004,0.30194,101.87523,102.11085,2.67164,94.49852,95.3383
02-Jul-18,0.8009,9.82063,0.30018,101.89155,102.12853,2.63547,94.79128,95.63658
03-Jul-18,0.79599,9.82063,0.29369,101.95309,102.19145,2.64609,94.70699,95.55782
05-Jul-18,0.79155,9.82289,0.29652,101.92386,102.16769,2.70651,94.22758,95.10051
06-Jul-18,0.78693,9.82426,0.28793,102.00546,102.25066,2.72128,94.11102,94.98947
09-Jul-18,0.79295,9.82356,0.30282,101.86264,102.10922,2.67322,94.49726,95.38124
10-Jul-18,0.80702,9.81665,0.31791,101.71825,101.96619,2.67661,94.47146,95.36096
11-Jul-18,0.80331,9.81793,0.36715,98.84162,98.84162,2.68256,94.42521,95.32024
12-Jul-18,0.79753,9.82446,0.35234,98.98804,98.9901,2.64493,94.73137,95.64297
13-Jul-18,0.79152,9.82678,0.33729,99.13636,99.1391,2.56064,95.41287,96.33
16-Jul-18,0.81587,9.81502,0.3721,98.79454,98.79796,2.58158,95.24466,96.16731
17-Jul-18,0.79701,9.8241,0.34491,99.06186,99.06597,2.46327,96.20769,97.13587
18-Jul-18,0.79312,9.82743,0.33839,99.12616,99.13095,2.50952,95.83149,96.76519
19-Jul-18,0.79263,9.82949,0.32963,99.21302,99.21987,2.50296,95.88809,96.83837
20-Jul-18,0.81993,9.81547,0.36932,98.82369,98.83122,2.57998,95.26502,96.22082
23-Jul-18,0.84091,9.80654,0.40052,98.5191,98.52732,2.64345,94.75566,95.71699
24-Jul-18,0.83289,9.8094,0.39014,98.62074,98.62965,2.66505,94.58399,95.55084
25-Jul-18,0.82329,9.81244,0.38582,98.6633,98.67289,2.66713,94.56879,95.54117
26-Jul-18,0.8416,9.80631,0.39898,98.536,98.54764,2.69852,94.32263,95.31158
27-Jul-18,0.85051,9.80125,0.40641,98.46411,98.47644,2.73487,94.03512,95.0296
30-Jul-18,0.8841,9.78276,0.44938,98.04721,98.06023,2.93386,99.00324,99.00324
31-Jul-18,0.87672,9.78445,0.44013,98.13735,98.15105,2.87451,99.52067,99.52832
01-Aug-18,0.90614,9.77237,0.48807,97.67445,97.68884,2.92015,99.12273,99.13803
02-Aug-18,0.89279,9.78131,0.46268,97.92127,97.9377,3.03745,98.10978,98.14803
03-Aug-18,0.85459,9.79558,0.40563,98.47449,98.49161,3.07899,97.75432,97.80022
06-Aug-18,0.84379,9.80027,0.38693,98.65684,98.67464,3.04326,98.06068,98.11423
07-Aug-18,0.86221,9.79279,0.41086,98.42451,98.443,3.02644,98.20549,98.26669
08-Aug-18,0.86097,9.79401,0.40429,98.48878,98.50796,3.01421,98.31091,98.37976
09-Aug-18,0.84913,9.80396,0.3767,98.75813,98.77937,3.03161,98.1625,98.2543
10-Aug-18,0.80984,9.81967,0.31725,99.33882,99.36074,3.13852,97.25114,97.35059
13-Aug-18,0.80966,9.82052,0.31615,99.34976,99.37236,3.23634,96.42654,96.53364
14-Aug-18,0.81083,9.81947,0.32827,99.23135,99.25464,3.21557,96.60175,96.7165
15-Aug-18,0.7898,9.82952,0.29682,99.5395,99.56347,3.35271,95.4577,95.5801
16-Aug-18,0.79886,9.8276,0.31157,99.39544,99.42146,3.28871,95.99244,96.1378
17-Aug-18,0.7937,9.82691,0.29945,99.51423,99.54094,3.29995,95.89966,96.05267
20-Aug-18,0.78754,9.82876,0.2954,99.5541,99.5815,3.22658,96.51365,96.67431
21-Aug-18,0.80763,9.81968,0.32971,99.21881,99.24689,3.13412,97.29354,97.46185
22-Aug-18,0.81302,9.81686,0.34747,99.04594,99.0747,3.22256,96.54879,96.72475
23-Aug-18,0.80827,9.82086,0.34288,99.09133,99.12215,3.26724,96.17737,96.37628
24-Aug-18,0.80702,9.81829,0.34231,99.09717,99.12868,3.30277,95.88232,96.08888
27-Aug-18,0.80702,9.82357,0.34233,99.09717,99.12936,3.30288,95.88232,96.09653
28-Aug-18,0.82894,9.81056,0.38228,98.70975,98.74263,3.34523,95.53209,95.75395
29-Aug-18,0.84824,9.80054,0.40538,98.48668,98.52024,3.29245,95.9707,96.20021
30-Aug-18,0.8173,9.81535,0.34891,99.03444,99.07006,3.34977,95.49842,95.75088
31-Aug-18,0.80213,9.81823,0.32792,99.23866,99.27496,3.37919,95.25686,95.51697
04-Sep-18,0.81719,9.81147,0.35508,98.97541,99.01308,3.19416,96.79625,97.07166
05-Sep-18,0.83355,9.80112,0.38475,98.68859,98.72694,3.10128,97.5797,97.86276
06-Sep-18,0.81954,9.80893,0.34929,99.03265,99.07306,3.06309,97.9051,98.21111
07-Sep-18,0.84157,9.79563,0.38535,98.68429,98.72538,3.04188,98.08591,98.39957
10-Sep-18,0.85451,9.78925,0.40199,98.52418,98.56596,2.91371,99.18458,99.50589
11-Sep-18,0.878,9.77687,0.43201,98.23608,98.27854,2.93872,98.96934,99.2983
12-Sep-18,0.86866,9.77909,0.41314,98.41775,98.4609,2.96426,98.75019,99.0868
13-Sep-18,0.87532,9.77704,0.42553,98.30012,98.34533,2.94914,98.88072,99.24028
14-Sep-18,0.88733,9.76843,0.44777,98.08764,98.13353,2.97595,98.65116,99.01837
17-Sep-18,0.89525,9.76249,0.45862,97.98438,98.03096,2.8576,99.67042,100.04528
18-Sep-18,0.90497,9.75716,0.47838,97.79642,97.84368,2.77782,100.36429,100.7468
19-Sep-18,0.91712,9.75168,0.4861,97.72347,97.77142,2.84757,99.7574,100.14756
20-Sep-18,0.91838,9.75408,0.47909,97.79204,97.84204,2.86807,99.58014,99.99325
21-Sep-18,0.90607,9.75771,0.45942,97.98,98.03068,2.82099,99.98805,100.40882
24-Sep-18,0.93876,9.74003,0.51069,97.49312,97.54449,2.93678,98.98875,99.41717
25-Sep-18,0.96796,9.72661,0.54298,97.18822,97.24028,2.87807,99.49404,99.93011
26-Sep-18,0.96055,9.72786,0.52954,97.31605,97.36879,2.83033,99.90694,100.35066
27-Sep-18,0.95866,9.7277,0.52935,97.31996,97.37475,2.8717,99.54933,100.016
28-Sep-18,0.92971,9.74043,0.47483,97.83731,97.89279,3.14113,97.25791,97.73223
01-Oct-18,0.94299,9.73711,0.4795,97.7935,97.84967,3.25363,96.32072,96.80269
02-Oct-18,0.91586,9.75217,0.42569,98.30643,98.36328,3.41502,94.99533,95.48495
03-Oct-18,0.9402,9.73898,0.46924,97.89213,97.94966,3.31366,95.82661,96.32388
04-Oct-18,0.99101,9.71757,0.53545,97.2675,97.32709,3.30694,95.88472,96.40494
05-Oct-18,1.01704,9.70423,0.56727,96.96897,97.02924,3.4182,94.97509,95.50296
09-Oct-18,1.00102,9.71443,0.53498,97.27419,97.33584,3.53783,94.01019,94.55336
10-Oct-18,1.01427,9.70634,0.5488,97.14486,97.20719,3.51168,94.22183,94.77265
11-Oct-18,0.99432,9.71884,0.5144,97.47103,97.53541,3.56905,93.76534,94.33911
12-Oct-18,0.98693,9.71993,0.50203,97.58841,97.65348,3.56423,93.80528,94.3867
15-Oct-18,0.98489,9.72188,0.49797,97.62737,97.69312,3.55903,93.84825,94.43732
16-Oct-18,0.97192,9.72817,0.48813,97.72088,97.78732,3.45545,94.68318,95.2799
17-Oct-18,0.94247,9.73873,0.45711,98.01507,98.0822,3.53585,94.03676,94.64113
18-Oct-18,0.931,9.74733,0.43089,98.26528,98.33446,3.66153,93.03967,93.66699
19-Oct-18,0.94876,9.73709,0.44127,98.16727,98.23713,3.55402,93.89662,94.53159
22-Oct-18,0.94533,9.73727,0.44648,98.11837,98.18892,3.48705,94.43552,95.07814
23-Oct-18,0.92003,9.74929,0.41508,98.41688,98.48811,3.56758,93.79098,94.44125
24-Oct-18,0.90368,9.7602,0.38709,98.68368,98.7556,3.61352,93.42644,94.08436
25-Oct-18,0.90425,9.76474,0.38795,98.67656,98.75053,3.50059,94.33289,95.01376
26-Oct-18,0.85585,9.78261,0.33904,99.14376,99.21842,3.45,94.74161,95.43013
29-Oct-18,0.88434,9.77291,0.37393,98.81079,98.88613,3.3102,95.87935,96.57552
30-Oct-18,0.88785,9.76703,0.37014,98.84724,98.92327,3.46308,94.63851,95.34234
31-Oct-18,0.89374,9.76162,0.38418,98.71393,98.79064,3.41415,95.03495,95.74643
01-Nov-18,0.90601,9.75933,0.4054,98.51338,98.59215,3.37675,95.34163,96.07606
02-Nov-18,0.92245,9.75073,0.43212,98.2608,98.34025,3.31438,95.85087,96.59295
05-Nov-18,0.91525,9.75307,0.42654,98.31406,98.39419,3.30146,95.9575,96.70723
06-Nov-18,0.91619,9.75272,0.42985,98.28322,98.36404,3.40659,95.10292,95.8603
07-Nov-18,0.9273,9.74652,0.44423,98.1479,98.22941,3.3395,95.64878,96.41381
08-Nov-18,0.9344,9.74562,0.45468,98.05087,98.13444,3.39728,95.18278,95.97076
09-Nov-18,0.90403,9.75627,0.40748,98.49703,98.58128,3.39771,95.18034,95.97597
13-Nov-18,0.90112,9.75855,0.40369,98.53366,98.61927,3.44156,94.82874,95.63967
14-Nov-18,0.89745,9.76103,0.39995,98.56943,98.65573,3.49735,94.38206,95.20064
15-Nov-18,0.86902,9.77789,0.35408,99.00547,99.09383,3.48977,94.44656,95.28809
16-Nov-18,0.86977,9.77594,0.36655,98.88736,98.9764,3.49075,94.44003,95.28921
19-Nov-18,0.87838,9.77061,0.37014,98.85362,98.94335,3.58593,93.68344,94.54027
20-Nov-18,0.86021,9.77906,0.34806,99.0634,99.15381,3.60319,93.54826,94.41274
21-Nov-18,0.86848,9.77467,0.37182,98.83831,98.9294,3.48585,94.48311,95.35524
23-Nov-18,0.84271,9.78494,0.33589,99.18025,99.27409,3.41082,95.09031,95.99304
26-Nov-18,0.85619,9.7794,0.36237,98.9294,99.02392,3.26301,96.29101,97.20139
27-Nov-18,0.84558,9.78303,0.34352,99.10833,99.20354,3.28258,96.13207,97.0501
28-Nov-18,0.85004,9.78144,0.35181,99.02998,99.12587,3.25589,96.35095,97.27663
29-Nov-18,0.82456,9.79762,0.31523,99.37776,99.4757,3.18606,96.92622,96.9416
30-Nov-18,0.81547,9.79875,0.30536,99.4718,99.57043,3.21252,96.70938,96.73246
03-Dec-18,0.81572,9.79886,0.30764,99.45028,99.5496,3.13158,97.37697,97.40774
04-Dec-18,0.78698,9.81208,0.26385,99.86755,99.96755,3.15054,97.22084,97.2593
06-Dec-18,0.77969,9.81923,0.2252,100.23707,100.33981,3.18202,96.964,97.03323
07-Dec-18,0.80127,9.80681,0.2527,99.97409,100.07751,3.12709,97.41748,97.4944
10-Dec-18,0.78917,9.8117,0.23628,100.13101,100.23512,3.0956,97.67872,97.76334
11-Dec-18,0.80235,9.80777,0.23005,100.19046,100.29525,3.11961,97.48037,97.57268
12-Dec-18,0.81976,9.7979,0.26526,99.85443,99.95991,3.00109,98.46669,98.56669
13-Dec-18,0.82099,9.80203,0.27334,99.77766,99.88519,2.95161,98.8824,99.00548
14-Dec-18,0.80977,9.80554,0.25317,99.96972,100.07794,2.93412,99.02966,99.16043
17-Dec-18,0.81057,9.80541,0.2573,99.93033,100.03923,2.94867,98.90752,99.04598
18-Dec-18,0.79292,9.8127,0.2451,100.04656,100.15615,2.94493,98.93918,99.08533
19-Dec-18,0.78609,9.81674,0.24293,100.0672,100.17748,2.79553,100.20416,100.35801
20-Dec-18,0.77096,9.8228,0.23296,100.16221,100.27454,2.73399,100.73011,100.90703
21-Dec-18,0.78592,9.8187,0.24843,100.01478,100.12916,2.81348,100.05081,100.25081
24-Dec-18,N/A,N/A,0.24843,100.01478,100.12985,2.81348,100.05081,100.2585
26-Dec-18,N/A,N/A,0.24843,100.01478,100.1319,2.81346,100.05081,100.28158
27-Dec-18,0.76554,9.82935,0.22222,100.26408,100.3812,2.73613,100.71025,100.94102
28-Dec-18,0.76472,9.83168,0.24159,100.07978,100.19827,2.73693,100.70303,100.94918
31-Dec-18,N/A,N/A,0.24158,100.07978,100.19895,2.7369,100.70303,100.95688
02-Jan-19,0.70081,9.8601,0.16562,100.80377,100.92364,2.68851,101.11776,101.3793
03-Jan-19,0.69988,9.86402,0.15554,100.89955,101.02146,2.87496,99.53056,99.81518
04-Jan-19,0.74163,9.84243,0.21069,100.37315,100.49575,2.88251,99.46706,99.75937
07-Jan-19,0.7429,9.84014,0.21366,100.34472,100.46801,2.89439,99.36723,99.66723
08-Jan-19,0.76266,9.82957,0.22779,100.21045,100.33443,2.951,98.89288,99.20057
09-Jan-19,0.76558,9.82973,0.27076,99.7935,99.7935,2.89115,99.39473,99.71011
10-Jan-19,0.76036,9.83529,0.25227,99.97736,99.97942,2.89133,99.3935,99.73196
11-Jan-19,0.75228,9.83623,0.23407,100.15857,100.16131,2.85462,99.70248,100.04863
